CHR,GeneName,TranscriptId,allhetRA,sum_homAA,homAlt_aaf,comp_het,compHet_aaf,sum_KO,inExternalDataset
10,AKR1C3,ENST00000380554,4144,9,0.001607413,8,8.38E-06,17,TRUE
10,AKR1E2,ENST00000298375,187136,5,0.000618662,0,0,5,TRUE
1,AKR7A2,ENST00000235835,1383,4,0.00058871,0,0,4,TRUE
1,AKR7A3,ENST00000361640,712,7,7.98E-05,0,0,7,TRUE
22,AL022318.4,ENST00000381568,329,1,4.07E-06,0,0,1,TRUE
6,AL031315.1,ENST00000648086,415,1,2.24E-05,0,0,1,FALSE
20,AL031681.3,ENST00000657241,1613,4,0.000267392,0,0,4,FALSE
6,AL031777.2,ENST00000635200,942,1,5.44E-05,0,0,1,FALSE
20,AL035460.1,ENST00000380593,6216,9,0.003061805,8,8.38E-06,17,TRUE
20,AL035461.4,ENST00000652720,1294,1,1.02E-06,0,0,1,FALSE
20,AL049634.2,ENST00000564763,177,1,2.03E-06,0,0,1,TRUE
1,AL109810.2,ENST00000651173,1298,5,0.00059739,0,0,5,TRUE
6,AL132671.2,ENST00000467125,37495,2,0.000155558,0,0,2,TRUE
14,AL136295.1,ENST00000530611,4877,14,0.002317575,5,5.24E-06,19,TRUE
9,AL162417.1,ENST00000647146,421,1,1.07E-05,0,0,1,TRUE
10,AL355315.1,ENST00000370649,281,1,5.64E-05,0,0,1,TRUE
9,AL358113.1,ENST00000642889,910,1,2.54E-06,0,0,1,FALSE
10,AL603764.2,ENST00000652090,355,1,0.000136255,0,0,1,FALSE
1,AL603832.3,ENST00000606505,1106,1,2.54E-05,0,0,1,TRUE
6,AL645922.1,ENST00000456570,750,2,9.15E-05,0,0,2,FALSE
6,AL662899.4,ENST00000375880,177,1,3.97E-05,0,0,1,FALSE
6,AL669918.1,ENST00000452392,2048,3,0.000717282,0,0,3,TRUE
1,AL713999.1,ENST00000473363,1055,16,0.000395344,0,0,16,TRUE
9,ALDH1B1,ENST00000377698,34132,61,0.007217542,23,2.41E-05,84,TRUE
12,ALDH1L2,ENST00000258494,3201,5,0.000897239,0,0,5,TRUE
12,ALDH2,ENST00000261733,1021,2,0.00034875,0,0,2,TRUE
17,ALDH3A1,ENST00000225740,1965,6,0.000451928,0,0,6,TRUE
11,ALDH3B2,ENST00000673966,1267,2,0.000400578,0,0,2,TRUE
6,ALDH8A1,ENST00000265605,427,2,1.27E-05,0,0,2,FALSE
3,ALG1L2,ENST00000425059,839,7,0.000318734,2,2.09E-06,9,TRUE
3,ALG3,ENST00000397676,215,1,1.42E-05,0,0,1,FALSE
11,ALKBH3,ENST00000302708,3436,4,0.000988233,2,2.09E-06,6,TRUE
2,ALLC,ENST00000252505,3373,4,0.001209365,2,2.09E-06,6,TRUE
2,ALMS1,ENST00000613296,3568,1,1.02E-06,0,0,1,TRUE
17,ALOX15,ENST00000293761,2112,3,0.000280609,0,0,3,TRUE
17,ALOX15B,ENST00000380183,3238,10,0.000807793,0,0,10,TRUE
10,ALOX5,ENST00000374391,388,1,2.03E-06,0,0,1,TRUE
17,ALOXE3,ENST00000448843,791,0,NA,2,2.09E-06,2,TRUE
2,ALPI,ENST00000295463,797,3,0.000145897,0,0,3,FALSE
4,ALPK1,ENST00000650871,3190,6,0.00063239,0,0,6,TRUE
18,ALPK2,ENST00000361673,7700,10,0.002761894,6,6.28E-06,16,TRUE
15,ALPK3,ENST00000258888,2296,3,0.000376686,0,0,3,TRUE
1,ALPL,ENST00000374840,1469,2,0.000487015,0,0,2,FALSE
2,ALPP,ENST00000392027,458,1,6.10E-06,0,0,1,FALSE
3,ALS2CL,ENST00000318962,4409,6,0.001760921,2,2.09E-06,8,TRUE
12,AMDHD1,ENST00000266736,568,1,4.07E-05,0,0,1,FALSE
12,AMHR2,ENST00000257863,600,2,1.58E-05,0,0,2,FALSE
14,AMN,ENST00000299155,537,1,2.03E-06,0,0,1,FALSE
1,AMPD1,ENST00000520113,175830,6,0.000502763,2,2.09E-06,8,TRUE
11,AMPD3,ENST00000396554,899,1,5.54E-05,2,2.09E-06,3,TRUE
4,AMTN,ENST00000339336,203,1,2.03E-06,0,0,1,FALSE
1,AMY2B,ENST00000361355,229,1,1.42E-05,0,0,1,TRUE
7,AMZ1,ENST00000312371,963,0,NA,2,2.09E-06,2,TRUE
17,AMZ2,ENST00000359904,1143,1,0.000378212,9,9.42E-06,10,TRUE
3,ANAPC13,ENST00000354910,104,1,1.02E-06,0,0,1,FALSE
14,ANGEL1,ENST00000251089,3117,6,0.000962814,0,0,6,TRUE
1,ANGEL2,ENST00000366962,1366,1,0.00050225,0,0,1,FALSE
1,ANGPTL3,ENST00000371129,2206,2,0.000298447,0,0,2,FALSE
11,ANGPTL5,ENST00000334289,1769,11,0.000589211,0,0,11,TRUE
19,ANGPTL6,ENST00000253109,2556,3,0.000663395,4,4.19E-06,7,TRUE
1,ANGPTL7,ENST00000376819,1171,1,0.000221641,0,0,1,TRUE
19,ANGPTL8,ENST00000252453,1912,3,0.000748802,0,0,3,FALSE
4,ANK2,ENST00000357077,189,1,1.53E-06,0,0,1,FALSE
2,ANKAR,ENST00000520309,4033,9,0.001032978,3,3.14E-06,12,TRUE
5,ANKDD1B,ENST00000601380,28672,828,0.015159185,302,0.00031622,1130,TRUE
5,ANKHD1,ENST00000360839,720,2,0.000314667,0,0,2,TRUE
5,ANKHD1-EIF4EBP3,ENST00000532219,810,3,0.000330426,0,0,3,TRUE
