studyId,traitFromSource,traitFromSourceMappedIds,diseaseIds,pubmedId,publicationDate,nCases,nControls,nSamples,cohorts,qualityControls,analysisFlags
GCST90266402,Plasma X-17361 levels in chronic kidney disease,['EFO_0800778'],['EFO_0800778'],37277652,2023-06-05,0.0,0.0,1915.0,['GCKD'],['The number of SNPs in the study is below the expected threshold'],['Metabolite']
GCST90274633,Eicosanoid 5(S) HETrE b levels,['EFO_0020044'],['EFO_0020044'],37524825,2023-07-31,0.0,0.0,6496.0,['ARIC'],[],['Metabolite']
GCST90279745,Plasma metabolome feature (hilic_1645),['EFO_0005664'],['EFO_0005664'],36482414,2022-12-08,0.0,0.0,441.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90280100,Plasma metabolome feature (hilic_3705),['EFO_0005664'],['EFO_0005664'],36482414,2022-12-08,0.0,0.0,441.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90280566,Plasma metabolome feature (hilic_6261) (Atractyloside I),['EFO_0803484'],['EFO_0803484'],36482414,2022-12-08,0.0,0.0,441.0,['other'],['Harmonized summary statistics are not available or empty'],[]
GCST90281164,Lower respiratory tract infection death,['EFO_0004352' 'EFO_0009433'],['EFO_0004352' 'EFO_0009433'],36716318,2023-01-30,702.0,485782.0,486484.0,['UKB'],[],[]
GCST90293608,Seropositivity for clostridiales peptide (agilent_91231),['EFO_0803616'],['EFO_0803616'],37164013,2023-04-25,0.0,0.0,1745.0,['Lifelines' 'other'],['Harmonized summary statistics are not available or empty'],[]
GCST90293757,Seropositivity for enterobacteriaceae peptide (agilent_226618),['EFO_0803619'],['EFO_0803619'],37164013,2023-04-25,0.0,0.0,1745.0,['Lifelines' 'other'],['Harmonized summary statistics are not available or empty'],[]
GCST90295554,Seropositivity for staphylococcus aureus peptide (agilent_241827),['EFO_0803650'],['EFO_0803650'],37164013,2023-04-25,0.0,0.0,1745.0,['Lifelines' 'other'],['Harmonized summary statistics are not available or empty'],[]
GCST90295599,Seropositivity for staphylococcus aureus subsp. aureus MRSA252 peptide (agilent_49012),['EFO_0803650'],['EFO_0803650'],37164013,2023-04-25,0.0,0.0,1745.0,['Lifelines' 'other'],['Harmonized summary statistics are not available or empty'],[]
GCST90320653,T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 90),['OBA_2045210'],['OBA_2045210'],38580839,2024-04-05,0.0,0.0,22960.0,['UKB'],[],[]
GCST90320755,T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 64),['OBA_2045210'],['OBA_2045210'],38580839,2024-04-05,0.0,0.0,12405.0,['UKB'],[],[]
GCST90335165,Diastolic blood pressure (BMI adjusted),['EFO_0006336'],['EFO_0006336'],39048560,2024-07-24,0.0,0.0,100453.0,['CKB'],[],[]
GCST90385851,T1 FreeSurfer pial rh superiortemporal area,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,7058.0,['CHIMGEN'],[],[]
GCST90386232,REST UKBBICA NET100 0378,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,7058.0,['CHIMGEN'],[],[]
GCST90387520,T1 CAT volume L LeftAmygdala,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90387550,T1 CAT volume L X,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90388157,T1 FreeSurfer a2009s lh G&S occipital inf thickness,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
GCST90388441,T1 FreeSurfer a2009s rh S orbital-H Shaped thickness,['EFO_0004346'],['EFO_0004346'],38811844,2024-05-29,0.0,0.0,40282.0,['UKB' 'CHIMGEN'],[],[]
