Gene symbol,Ensembl gene ID,Disease name,EFO ID,Therapeutic area,gPS,Number of therapeutic areas
WNT5A,ENSG00000114251,nephrolithiasis,EFO_0004253,urinary system disease,5,4
WNT5A,ENSG00000114251,ureterolithiasis,EFO_1001228,urinary system disease,5,4
GCAT,ENSG00000100116,nephrolithiasis,EFO_0004253,urinary system disease,14,6
GCAT,ENSG00000100116,ureterolithiasis,EFO_1001228,urinary system disease,14,6
TFAP2B,ENSG00000008196,nephrolithiasis,EFO_0004253,urinary system disease,30,10
TFAP2B,ENSG00000008196,ureterolithiasis,EFO_1001228,urinary system disease,30,10
L3MBTL3,ENSG00000198945,nephrolithiasis,EFO_0004253,urinary system disease,8,5
L3MBTL3,ENSG00000198945,ureterolithiasis,EFO_1001228,urinary system disease,8,5
CLDN14,ENSG00000159261,nephrolithiasis,EFO_0004253,urinary system disease,5,2
RGS14,ENSG00000169220,nephrolithiasis,EFO_0004253,urinary system disease,20,6
RGS14,ENSG00000169220,ureterolithiasis,EFO_1001228,urinary system disease,20,6
MED13,ENSG00000108510,nephrolithiasis,EFO_0004253,urinary system disease,3,2
MED13,ENSG00000108510,ureterolithiasis,EFO_1001228,urinary system disease,3,2
COL7A1,ENSG00000114270,nephrolithiasis,EFO_0004253,urinary system disease,2,1
COL7A1,ENSG00000114270,ureterolithiasis,EFO_1001228,urinary system disease,2,1
RNLS,ENSG00000184719,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,15,7
ID4,ENSG00000172201,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,16,9
SYNE1,ENSG00000131018,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,15,3
CCDC170,ENSG00000120262,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,31,7
CD109,ENSG00000156535,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,6,2
SRP14,ENSG00000140319,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,6,3
VEZT,ENSG00000028203,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,5,2
FGD6,ENSG00000180263,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,7,3
PTPRO,ENSG00000151490,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,5,3
ABO,ENSG00000175164,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,105,20
ESR1,ENSG00000091831,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,59,12
ETAA1,ENSG00000143971,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,13,8
NFE2L3,ENSG00000050344,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,7,4
GDAP1,ENSG00000104381,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,2,1
FSHB,ENSG00000131808,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,21,6
PMCH,ENSG00000183395,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,5,2
CDKN2B,ENSG00000147883,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,148,21
KDR,ENSG00000128052,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,18,6
GREB1,ENSG00000196208,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,13,3
CDC42,ENSG00000070831,endometriosis of pelvic peritoneum,MONDO_0001285,reproductive system or breast disease,13,5
CD109,ENSG00000156535,female infertility,EFO_0008560,reproductive system or breast disease,6,2
SYNE1,ENSG00000131018,female infertility,EFO_0008560,reproductive system or breast disease,15,3
PGR,ENSG00000082175,endometriosis,EFO_0001065,reproductive system or breast disease,6,4
PGR,ENSG00000082175,female infertility,EFO_0008560,reproductive system or breast disease,6,4
CDKN2B,ENSG00000147883,female infertility,EFO_0008560,reproductive system or breast disease,148,21
NFE2L3,ENSG00000050344,endometriosis,EFO_0001065,reproductive system or breast disease,7,4
NFE2L3,ENSG00000050344,female infertility,EFO_0008560,reproductive system or breast disease,7,4
KDR,ENSG00000128052,female infertility,EFO_0008560,reproductive system or breast disease,18,6
SSX2IP,ENSG00000117155,endometriosis,EFO_0001065,reproductive system or breast disease,2,1
SSX2IP,ENSG00000117155,female infertility,EFO_0008560,reproductive system or breast disease,2,1
CCDC170,ENSG00000120262,female infertility,EFO_0008560,reproductive system or breast disease,31,7
VEZT,ENSG00000028203,endometriosis,EFO_0001065,reproductive system or breast disease,5,2
VEZT,ENSG00000028203,female infertility,EFO_0008560,reproductive system or breast disease,5,2
GREB1,ENSG00000196208,female infertility,EFO_0008560,reproductive system or breast disease,13,3
CDC42,ENSG00000070831,endometriosis,EFO_0001065,reproductive system or breast disease,13,5
CDC42,ENSG00000070831,female infertility,EFO_0008560,reproductive system or breast disease,13,5
PKHD1L1,ENSG00000205038,female infertility,EFO_0008560,reproductive system or breast disease,1,1
CHRNB4,ENSG00000117971,female infertility,EFO_0008560,reproductive system or breast disease,8,6
CHEK2,ENSG00000183765,female infertility,EFO_0008560,reproductive system or breast disease,60,10
SULT1B1,ENSG00000173597,female infertility,EFO_0008560,reproductive system or breast disease,4,3
BMPR1B,ENSG00000138696,Oligomenorrhea,HP_0000876,other,18,7
BMPR1B,ENSG00000138696,Menorrhagia,HP_0000132,other,18,7
BMPR1B,ENSG00000138696,Polymenorrhea,HP_0400007,other,18,7
RNLS,ENSG00000184719,Oligomenorrhea,HP_0000876,other,15,7
RNLS,ENSG00000184719,Menorrhagia,HP_0000132,other,15,7
RNLS,ENSG00000184719,Polymenorrhea,HP_0400007,other,15,7
PAPPA2,ENSG00000116183,Oligomenorrhea,HP_0000876,other,7,5
PAPPA2,ENSG00000116183,Menorrhagia,HP_0000132,other,7,5
PAPPA2,ENSG00000116183,Polymenorrhea,HP_0400007,other,7,5
F5,ENSG00000198734,Oligomenorrhea,HP_0000876,other,45,12
F5,ENSG00000198734,Menorrhagia,HP_0000132,other,45,12
F5,ENSG00000198734,Polymenorrhea,HP_0400007,other,45,12
FSHR,ENSG00000170820,Oligomenorrhea,HP_0000876,other,6,3
FSHR,ENSG00000170820,Menorrhagia,HP_0000132,other,6,3
FSHR,ENSG00000170820,Polymenorrhea,HP_0400007,other,6,3
EEFSEC,ENSG00000132394,Oligomenorrhea,HP_0000876,other,22,6
EEFSEC,ENSG00000132394,Menorrhagia,HP_0000132,other,22,6
EEFSEC,ENSG00000132394,Polymenorrhea,HP_0400007,other,22,6
APOB,ENSG00000084674,Oligomenorrhea,HP_0000876,other,17,4
APOB,ENSG00000084674,Menorrhagia,HP_0000132,other,17,4
APOB,ENSG00000084674,Polymenorrhea,HP_0400007,other,17,4
RSPO3,ENSG00000146374,Oligomenorrhea,HP_0000876,other,30,9
RSPO3,ENSG00000146374,Menorrhagia,HP_0000132,other,30,9
RSPO3,ENSG00000146374,Polymenorrhea,HP_0400007,other,30,9
CHEK2,ENSG00000183765,Oligomenorrhea,HP_0000876,other,60,10
CHEK2,ENSG00000183765,Menorrhagia,HP_0000132,other,60,10
CHEK2,ENSG00000183765,Polymenorrhea,HP_0400007,other,60,10
FSHB,ENSG00000131808,Oligomenorrhea,HP_0000876,other,21,6
FSHB,ENSG00000131808,Menorrhagia,HP_0000132,other,21,6
FSHB,ENSG00000131808,Polymenorrhea,HP_0400007,other,21,6
CCDC170,ENSG00000120262,Oligomenorrhea,HP_0000876,other,31,7
CCDC170,ENSG00000120262,Menorrhagia,HP_0000132,other,31,7
CCDC170,ENSG00000120262,Polymenorrhea,HP_0400007,other,31,7
PPARA,ENSG00000186951,Oligomenorrhea,HP_0000876,other,4,2
PPARA,ENSG00000186951,Menorrhagia,HP_0000132,other,4,2
PPARA,ENSG00000186951,Polymenorrhea,HP_0400007,other,4,2
SYNE1,ENSG00000131018,Oligomenorrhea,HP_0000876,other,15,3
SYNE1,ENSG00000131018,Menorrhagia,HP_0000132,other,15,3
SYNE1,ENSG00000131018,Polymenorrhea,HP_0400007,other,15,3
DCC,ENSG00000187323,Oligomenorrhea,HP_0000876,other,50,12
DCC,ENSG00000187323,Menorrhagia,HP_0000132,other,50,12
DCC,ENSG00000187323,Polymenorrhea,HP_0400007,other,50,12
RAP2C,ENSG00000123728,Oligomenorrhea,HP_0000876,other,6,4
RAP2C,ENSG00000123728,Menorrhagia,HP_0000132,other,6,4
RAP2C,ENSG00000123728,Polymenorrhea,HP_0400007,other,6,4
ESR1,ENSG00000091831,Oligomenorrhea,HP_0000876,other,59,12
ESR1,ENSG00000091831,Menorrhagia,HP_0000132,other,59,12
ESR1,ENSG00000091831,Polymenorrhea,HP_0400007,other,59,12
TP53,ENSG00000141510,Oligomenorrhea,HP_0000876,other,42,5
TP53,ENSG00000141510,Menorrhagia,HP_0000132,other,42,5
TP53,ENSG00000141510,Polymenorrhea,HP_0400007,other,42,5
MCM6,ENSG00000076003,Oligomenorrhea,HP_0000876,other,8,4
MCM6,ENSG00000076003,Menorrhagia,HP_0000132,other,8,4
MCM6,ENSG00000076003,Polymenorrhea,HP_0400007,other,8,4
LCT,ENSG00000115850,Oligomenorrhea,HP_0000876,other,9,5
LCT,ENSG00000115850,Menorrhagia,HP_0000132,other,9,5
LCT,ENSG00000115850,Polymenorrhea,HP_0400007,other,9,5
CDCA7,ENSG00000144354,Oligomenorrhea,HP_0000876,other,6,3
CDCA7,ENSG00000144354,Menorrhagia,HP_0000132,other,6,3
CDCA7,ENSG00000144354,Polymenorrhea,HP_0400007,other,6,3
SSPN,ENSG00000123096,Oligomenorrhea,HP_0000876,other,17,8
SSPN,ENSG00000123096,Menorrhagia,HP_0000132,other,17,8
SSPN,ENSG00000123096,Polymenorrhea,HP_0400007,other,17,8
PLAC1,ENSG00000170965,Oligomenorrhea,HP_0000876,other,4,2
PLAC1,ENSG00000170965,Menorrhagia,HP_0000132,other,4,2
PLAC1,ENSG00000170965,Polymenorrhea,HP_0400007,other,4,2
SLC38A3,ENSG00000188338,Oligomenorrhea,HP_0000876,other,4,2
SLC38A3,ENSG00000188338,Menorrhagia,HP_0000132,other,4,2
SLC38A3,ENSG00000188338,Polymenorrhea,HP_0400007,other,4,2
SLK,ENSG00000065613,Oligomenorrhea,HP_0000876,other,12,5
SLK,ENSG00000065613,Menorrhagia,HP_0000132,other,12,5
SLK,ENSG00000065613,Polymenorrhea,HP_0400007,other,12,5
ENSG00000188897,ENSG00000188897,Oligomenorrhea,HP_0000876,other,8,4
ENSG00000188897,ENSG00000188897,Menorrhagia,HP_0000132,other,8,4
ENSG00000188897,ENSG00000188897,Polymenorrhea,HP_0400007,other,8,4
KDR,ENSG00000128052,Oligomenorrhea,HP_0000876,other,18,6
KDR,ENSG00000128052,Menorrhagia,HP_0000132,other,18,6
KDR,ENSG00000128052,Polymenorrhea,HP_0400007,other,18,6
WT1,ENSG00000184937,Oligomenorrhea,HP_0000876,other,32,10
WT1,ENSG00000184937,Menorrhagia,HP_0000132,other,32,10
WT1,ENSG00000184937,Polymenorrhea,HP_0400007,other,32,10
PAX8,ENSG00000125618,spermatocele,EFO_1001189,reproductive system or breast disease,14,6
LPAR3,ENSG00000171517,spermatocele,EFO_1001189,reproductive system or breast disease,1,1
INHBB,ENSG00000163083,spermatocele,EFO_1001189,reproductive system or breast disease,17,8
LMX1A,ENSG00000162761,spermatocele,EFO_1001189,reproductive system or breast disease,3,2
ADAMTS18,ENSG00000140873,spermatocele,EFO_1001189,reproductive system or breast disease,3,3
SHH,ENSG00000164690,spermatocele,EFO_1001189,reproductive system or breast disease,5,3
ANKRD55,ENSG00000164512,spermatocele,EFO_1001189,reproductive system or breast disease,39,14
PSD4,ENSG00000125637,spermatocele,EFO_1001189,reproductive system or breast disease,5,3
EBLN2,ENSG00000255423,abortion,EFO_1001491,reproductive system or breast disease,1,1
PHF2,ENSG00000197724,abortion,EFO_1001491,reproductive system or breast disease,9,5
PTPRF,ENSG00000142949,abortion,EFO_1001491,reproductive system or breast disease,12,5
PDE4B,ENSG00000184588,abortion,EFO_1001491,reproductive system or breast disease,22,8
ZNF469,ENSG00000225614,perineal laceration during delivery,EFO_0009816,"injury, poisoning or other complication",6,5
EBF1,ENSG00000164330,premature birth,EFO_0003917,other,22,8
ARFRP1,ENSG00000101246,Prosthesis-Related Infections,EFO_1001406,infectious disease,9,5
SH2B3,ENSG00000111252,Prosthesis-Related Infections,EFO_1001406,infectious disease,87,17
CGREF1,ENSG00000138028,Prosthesis-Related Infections,EFO_1001406,infectious disease,7,4
PTGER4,ENSG00000171522,Prosthesis-Related Infections,EFO_1001406,infectious disease,38,12
SDK1,ENSG00000146555,Prosthesis-Related Infections,EFO_1001406,infectious disease,17,7
APOE,ENSG00000130203,Prosthesis-Related Infections,EFO_1001406,infectious disease,107,16
ADGRL4,ENSG00000162618,Prosthesis-Related Infections,EFO_1001406,infectious disease,3,3
ZPBP2,ENSG00000186075,Prosthesis-Related Infections,EFO_1001406,infectious disease,27,9
TOX,ENSG00000198846,Prosthesis-Related Infections,EFO_1001406,infectious disease,7,5
CRP,ENSG00000132693,Prosthesis-Related Infections,EFO_1001406,infectious disease,9,3
MUC5AC,ENSG00000215182,Prosthesis-Related Infections,EFO_1001406,infectious disease,11,4
TBX3,ENSG00000135111,ankyloglossia,MONDO_0007125,"genetic, familial or congenital disease",27,8
TBX22,ENSG00000122145,ankyloglossia,MONDO_0007125,"genetic, familial or congenital disease",2,2
RAB21,ENSG00000080371,ankyloglossia,MONDO_0007125,"genetic, familial or congenital disease",1,1
PTPRR,ENSG00000153233,ankyloglossia,MONDO_0007125,"genetic, familial or congenital disease",4,3
PALMD,ENSG00000099260,congenital left-sided heart lesions,EFO_0005938,"genetic, familial or congenital disease",16,4
PALMD,ENSG00000099260,Ventricular Outflow Obstruction,EFO_1001448,cardiovascular disease,16,4
IL2RA,ENSG00000134460,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,47,12
ATXN2,ENSG00000204842,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,44,12
TNIP1,ENSG00000145901,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,16,8
TESPA1,ENSG00000135426,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,13,6
GATA3,ENSG00000107485,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,34,10
COG6,ENSG00000133103,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,19,10
CD40,ENSG00000101017,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,13,7
IL2RA,ENSG00000134460,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,47,12
ATP2A1,ENSG00000196296,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,5,4
DLGAP1,ENSG00000170579,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,6,3
CACHD1,ENSG00000158966,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,2,1
SPDEF,ENSG00000124664,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,3,3
ANKRD55,ENSG00000164512,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,39,14
MYC,ENSG00000136997,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,50,9
IRF5,ENSG00000128604,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,32,10
RHOH,ENSG00000168421,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,4,4
IRAK1,ENSG00000184216,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,4,3
DDX6,ENSG00000110367,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,20,11
ENSG00000293584,ENSG00000293584,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,24,12
BCL2L11,ENSG00000153094,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,37,12
SH2B3,ENSG00000111252,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,87,17
ACOXL,ENSG00000153093,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,23,8
ETS1,ENSG00000134954,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,31,13
ZNF438,ENSG00000183621,ACPA-positive rheumatoid arthritis,EFO_0009459,musculoskeletal or connective tissue disease,5,4
CASTOR2,ENSG00000274070,lupus erythematosus,MONDO_0004670,musculoskeletal or connective tissue disease,2,2
NCF2,ENSG00000116701,lupus erythematosus,MONDO_0004670,musculoskeletal or connective tissue disease,7,3
PTPN22,ENSG00000134242,lupus erythematosus,MONDO_0004670,musculoskeletal or connective tissue disease,71,15
STAT4,ENSG00000138378,lupus erythematosus,MONDO_0004670,musculoskeletal or connective tissue disease,33,11
ITGAM,ENSG00000169896,lupus erythematosus,MONDO_0004670,musculoskeletal or connective tissue disease,5,3
BLK,ENSG00000136573,lupus erythematosus,MONDO_0004670,musculoskeletal or connective tissue disease,20,10
GPT2,ENSG00000166123,lupus erythematosus,MONDO_0004670,musculoskeletal or connective tissue disease,1,1
TNPO3,ENSG00000064419,lupus erythematosus,MONDO_0004670,musculoskeletal or connective tissue disease,14,7
MBL2,ENSG00000165471,radius fracture,EFO_0003957,"injury, poisoning or other complication",5,3
MBL2,ENSG00000165471,ulna fracture,EFO_0003950,"injury, poisoning or other complication",5,3
CCDC34,ENSG00000109881,radius fracture,EFO_0003957,"injury, poisoning or other complication",4,3
CCDC34,ENSG00000109881,ulna fracture,EFO_0003950,"injury, poisoning or other complication",4,3
STARD3NL,ENSG00000010270,radius fracture,EFO_0003957,"injury, poisoning or other complication",7,4
STARD3NL,ENSG00000010270,ulna fracture,EFO_0003950,"injury, poisoning or other complication",7,4
DDN,ENSG00000181418,radius fracture,EFO_0003957,"injury, poisoning or other complication",8,5
DDN,ENSG00000181418,ulna fracture,EFO_0003950,"injury, poisoning or other complication",8,5
IDUA,ENSG00000127415,radius fracture,EFO_0003957,"injury, poisoning or other complication",7,4
IDUA,ENSG00000127415,ulna fracture,EFO_0003950,"injury, poisoning or other complication",7,4
OR9G4,ENSG00000172457,radius fracture,EFO_0003957,"injury, poisoning or other complication",2,1
OR9G4,ENSG00000172457,ulna fracture,EFO_0003950,"injury, poisoning or other complication",2,1
TENT5A,ENSG00000112773,radius fracture,EFO_0003957,"injury, poisoning or other complication",8,4
TENT5A,ENSG00000112773,ulna fracture,EFO_0003950,"injury, poisoning or other complication",8,4
FZD7,ENSG00000155760,radius fracture,EFO_0003957,"injury, poisoning or other complication",4,2
FZD7,ENSG00000155760,ulna fracture,EFO_0003950,"injury, poisoning or other complication",4,2
GHRHR,ENSG00000106128,radius fracture,EFO_0003957,"injury, poisoning or other complication",2,1
GHRHR,ENSG00000106128,ulna fracture,EFO_0003950,"injury, poisoning or other complication",2,1
TTK,ENSG00000112742,radius fracture,EFO_0003957,"injury, poisoning or other complication",2,1
TTK,ENSG00000112742,ulna fracture,EFO_0003950,"injury, poisoning or other complication",2,1
TMEM135,ENSG00000166575,radius fracture,EFO_0003957,"injury, poisoning or other complication",7,3
TMEM135,ENSG00000166575,ulna fracture,EFO_0003950,"injury, poisoning or other complication",7,3
ACTR1A,ENSG00000138107,radius fracture,EFO_0003957,"injury, poisoning or other complication",4,3
ACTR1A,ENSG00000138107,ulna fracture,EFO_0003950,"injury, poisoning or other complication",4,3
SLC25A13,ENSG00000004864,radius fracture,EFO_0003957,"injury, poisoning or other complication",28,8
SLC25A13,ENSG00000004864,ulna fracture,EFO_0003950,"injury, poisoning or other complication",28,8
PPP1R3B,ENSG00000173281,radius fracture,EFO_0003957,"injury, poisoning or other complication",18,9
PPP1R3B,ENSG00000173281,ulna fracture,EFO_0003950,"injury, poisoning or other complication",18,9
SLC8A1,ENSG00000183023,radius fracture,EFO_0003957,"injury, poisoning or other complication",6,3
SLC8A1,ENSG00000183023,ulna fracture,EFO_0003950,"injury, poisoning or other complication",6,3
SOST,ENSG00000167941,radius fracture,EFO_0003957,"injury, poisoning or other complication",8,3
SOST,ENSG00000167941,ulna fracture,EFO_0003950,"injury, poisoning or other complication",8,3
EN1,ENSG00000163064,radius fracture,EFO_0003957,"injury, poisoning or other complication",13,7
EN1,ENSG00000163064,ulna fracture,EFO_0003950,"injury, poisoning or other complication",13,7
DEFB130A,ENSG00000232948,radius fracture,EFO_0003957,"injury, poisoning or other complication",2,1
DEFB130A,ENSG00000232948,ulna fracture,EFO_0003950,"injury, poisoning or other complication",2,1
TNFRSF11B,ENSG00000164761,radius fracture,EFO_0003957,"injury, poisoning or other complication",11,7
TNFRSF11B,ENSG00000164761,ulna fracture,EFO_0003950,"injury, poisoning or other complication",11,7
EPDR1,ENSG00000086289,radius fracture,EFO_0003957,"injury, poisoning or other complication",11,5
EPDR1,ENSG00000086289,ulna fracture,EFO_0003950,"injury, poisoning or other complication",11,5
FUBP3,ENSG00000107164,radius fracture,EFO_0003957,"injury, poisoning or other complication",3,1
FUBP3,ENSG00000107164,ulna fracture,EFO_0003950,"injury, poisoning or other complication",3,1
ETS2,ENSG00000157557,radius fracture,EFO_0003957,"injury, poisoning or other complication",14,7
ETS2,ENSG00000157557,ulna fracture,EFO_0003950,"injury, poisoning or other complication",14,7
EFNA1,ENSG00000169242,radius fracture,EFO_0003957,"injury, poisoning or other complication",7,4
EFNA1,ENSG00000169242,ulna fracture,EFO_0003950,"injury, poisoning or other complication",7,4
ARFGAP2,ENSG00000149182,radius fracture,EFO_0003957,"injury, poisoning or other complication",6,3
ARFGAP2,ENSG00000149182,ulna fracture,EFO_0003950,"injury, poisoning or other complication",6,3
RSPO3,ENSG00000146374,radius fracture,EFO_0003957,"injury, poisoning or other complication",30,9
RSPO3,ENSG00000146374,ulna fracture,EFO_0003950,"injury, poisoning or other complication",30,9
WNT16,ENSG00000002745,radius fracture,EFO_0003957,"injury, poisoning or other complication",12,5
WNT16,ENSG00000002745,ulna fracture,EFO_0003950,"injury, poisoning or other complication",12,5
NFATC1,ENSG00000131196,radius fracture,EFO_0003957,"injury, poisoning or other complication",20,9
NFATC1,ENSG00000131196,ulna fracture,EFO_0003950,"injury, poisoning or other complication",20,9
CKB,ENSG00000166165,radius fracture,EFO_0003957,"injury, poisoning or other complication",7,6
CKB,ENSG00000166165,ulna fracture,EFO_0003950,"injury, poisoning or other complication",7,6
CHD6,ENSG00000124177,radius fracture,EFO_0003957,"injury, poisoning or other complication",6,4
CHD6,ENSG00000124177,ulna fracture,EFO_0003950,"injury, poisoning or other complication",6,4
CTNNB1,ENSG00000168036,radius fracture,EFO_0003957,"injury, poisoning or other complication",17,6
CTNNB1,ENSG00000168036,ulna fracture,EFO_0003950,"injury, poisoning or other complication",17,6
CCDC170,ENSG00000120262,radius fracture,EFO_0003957,"injury, poisoning or other complication",31,7
CCDC170,ENSG00000120262,ulna fracture,EFO_0003950,"injury, poisoning or other complication",31,7
ESR1,ENSG00000091831,radius fracture,EFO_0003957,"injury, poisoning or other complication",59,12
ESR1,ENSG00000091831,ulna fracture,EFO_0003950,"injury, poisoning or other complication",59,12
SAMD12,ENSG00000177570,radius fracture,EFO_0003957,"injury, poisoning or other complication",3,2
SAMD12,ENSG00000177570,ulna fracture,EFO_0003950,"injury, poisoning or other complication",3,2
SEM1,ENSG00000127922,shoulder fracture,EFO_0009621,"injury, poisoning or other complication",2,2
EN1,ENSG00000163064,shoulder fracture,EFO_0009621,"injury, poisoning or other complication",13,7
CTNNB1,ENSG00000168036,shoulder fracture,EFO_0009621,"injury, poisoning or other complication",17,6
FAM3C,ENSG00000196937,shoulder fracture,EFO_0009621,"injury, poisoning or other complication",5,3
TENT5A,ENSG00000112773,shoulder fracture,EFO_0009621,"injury, poisoning or other complication",8,4
SOST,ENSG00000167941,shoulder fracture,EFO_0009621,"injury, poisoning or other complication",8,3
MSI2,ENSG00000153944,essential thrombocythemia,EFO_0000479,cancer or benign tumor,8,6
TP53,ENSG00000141510,essential thrombocythemia,EFO_0000479,cancer or benign tumor,42,5
IFT80,ENSG00000068885,essential thrombocythemia,EFO_0000479,cancer or benign tumor,4,2
ZNRF3,ENSG00000183579,essential thrombocythemia,EFO_0000479,cancer or benign tumor,22,9
ALDH2,ENSG00000111275,essential thrombocythemia,EFO_0000479,cancer or benign tumor,23,11
JAK2,ENSG00000096968,essential thrombocythemia,EFO_0000479,cancer or benign tumor,16,7
POGLUT3,ENSG00000178202,essential thrombocythemia,EFO_0000479,cancer or benign tumor,12,2
CHEK2,ENSG00000183765,essential thrombocythemia,EFO_0000479,cancer or benign tumor,60,10
HBS1L,ENSG00000112339,essential thrombocythemia,EFO_0000479,cancer or benign tumor,12,5
MKLN1,ENSG00000128585,essential thrombocythemia,EFO_0000479,cancer or benign tumor,8,4
TET2,ENSG00000168769,essential thrombocythemia,EFO_0000479,cancer or benign tumor,34,11
TERT,ENSG00000164362,essential thrombocythemia,EFO_0000479,cancer or benign tumor,84,11
APOE,ENSG00000130203,vascular dementia,EFO_0004718,cardiovascular disease,107,16
SOX11,ENSG00000176887,vascular dementia,EFO_0004718,cardiovascular disease,7,5
SUGCT,ENSG00000175600,nicotine dependence,EFO_0003768,nervous system disease,15,6
SUGCT,ENSG00000175600,nicotine use,EFO_0005430,other,15,6
TNP1,ENSG00000118245,breast carcinoma,EFO_0000305,cancer or benign tumor,19,7
TOX3,ENSG00000103460,breast carcinoma,EFO_0000305,cancer or benign tumor,26,6
CHRNA5,ENSG00000169684,lung carcinoma,EFO_0001071,cancer or benign tumor,31,8
ABO,ENSG00000175164,venous thromboembolism,EFO_0004286,cardiovascular disease,105,20
NINJ2,ENSG00000171840,stroke,EFO_0000712,cardiovascular disease,2,2
CTLA4,ENSG00000163599,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,26,9
REL,ENSG00000162924,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,12,6
BLK,ENSG00000136573,rheumatoid arthritis,EFO_0000685,musculoskeletal or connective tissue disease,20,10
EEFSEC,ENSG00000132394,prostate carcinoma,EFO_0001663,cancer or benign tumor,22,6
LRRC18,ENSG00000165383,systemic lupus erythematosus,MONDO_0007915,urinary system disease,2,2
TREH,ENSG00000118094,systemic lupus erythematosus,MONDO_0007915,urinary system disease,6,5
RASGRP3,ENSG00000152689,systemic lupus erythematosus,MONDO_0007915,urinary system disease,6,4
CRHR1,ENSG00000120088,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",25,12
CD38,ENSG00000004468,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",1,1
RAB29,ENSG00000117280,Parkinson disease,MONDO_0005180,"genetic, familial or congenital disease",3,3
STARD13,ENSG00000133121,brain aneurysm,EFO_0003870,cardiovascular disease,5,4
CNNM2,ENSG00000148842,brain aneurysm,EFO_0003870,cardiovascular disease,16,6
SOX17,ENSG00000164736,brain aneurysm,EFO_0003870,cardiovascular disease,6,2
TSPYL5,ENSG00000180543,migraine disorder,MONDO_0005277,cardiovascular disease,3,2
IL2RB,ENSG00000100385,asthma,MONDO_0004979,respiratory or thoracic disease,3,3
GSDMA,ENSG00000167914,asthma,MONDO_0004979,respiratory or thoracic disease,5,4
LHCGR,ENSG00000138039,polycystic ovary syndrome,EFO_0000660,"genetic, familial or congenital disease",3,3
MC1R,ENSG00000258839,basal cell carcinoma,EFO_0004193,cancer or benign tumor,30,8
