Gene symbol,Ensembl target ID,Disease name,Disease ID,Open Targets indirect association score,Maximum absolute rescaled effect size,Minimum MAF,Maximum VEP score,Highest clinical phase,Number of unique associated diseases,Number of unique therapeutic areas,Approved (1 = approved),GWAS genetic support (1 = present)
NDUFAB1,ENSG00000004779,obstructive sleep apnea,EFO_0003918,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,physical activity,EFO_0003940,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,freckles,EFO_0003963,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,alopecia areata,EFO_0004192,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Vitiligo,EFO_0004208,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,Abdominal Aortic Aneurysm,EFO_0004214,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,focal segmental glomerulosclerosis,EFO_0004236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,peripheral arterial disease,EFO_0004265,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,neurobehavioral manifestations,EFO_0004364,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,body weight gain,EFO_0004566,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,gestational diabetes,EFO_0004593,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,"osteoarthritis, knee",EFO_0004616,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,schizoaffective disorder,EFO_0005411,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
NDUFAB1,ENSG00000004779,acute coronary syndrome,EFO_0005672,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0
