studyId,diseaseIds,diseaseNames,mappedTherapeuticAreas,therapeuticAreaNames,estimatedBeta,pValueMantissa,pValueExponent,neg_log10_p
GCST005276,['EFO_0006792'],['Lewy body dementia'],['EFO_0000618'],nervous system disease,1.1026188702274948,3.0,-64,63.52287873625755
GCST007881,['EFO_0006792'],['Lewy body dementia'],['EFO_0000618'],nervous system disease,0.6495866112828197,6.0,-17,16.221848726272583
GCST008437,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,0.8793882248110075,2.0,-30,29.69896999001503
GCST008438,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,0.8131614974796089,6.0,-43,42.22184872627258
GCST008550,['EFO_0010130'],['health study participation'],['other'],other,-0.06147078528770642,5.0,-19,18.301029980182648
GCST009023,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,0.9606343828476573,1.0,-76,76.0
GCST009024,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,1.0572271306742218,1.0,-75,75.0
GCST009025,"['EFO_0004718', 'MONDO_0004975']","['vascular dementia', 'Alzheimer disease']","['EFO_0000319', 'EFO_0000618']",cardiovascular disease,0.5055653794600978,6.0,-14,13.221848726272583
GCST009025,"['EFO_0004718', 'MONDO_0004975']","['vascular dementia', 'Alzheimer disease']","['EFO_0000319', 'EFO_0000618']",nervous system disease,0.5055653794600978,6.0,-14,13.221848726272583
GCST009379,['MONDO_0005148'],['type 2 diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.0660383232557067,3.0,-18,17.522878736257553
GCST009496,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,1.1710297967359478,5.0,-286,285.30102998018265
GCST009497,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,0.6977364354236704,4.0,-43,42.39793998003006
GCST010555,['MONDO_0005148'],['type 2 diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.06055087023180446,4.0,-28,27.39793998003006
GCST010557,['MONDO_0005148'],['type 2 diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.04806623933859629,2.0,-26,25.69896999001503
GCST011364,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,0.1200916666418345,3.0997643,-15,14.508671313524246
GCST011365,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,0.08110547325646815,3.9307964,-22,21.405519425868988
GCST011496,['EFO_0004214'],['Abdominal Aortic Aneurysm'],['EFO_0000319'],cardiovascular disease,0.1855038682978144,1.0,-15,15.0
GCST90012792,['EFO_0010130'],['health study participation'],['other'],other,-0.06848991376187726,5.2092237,-21,20.28322696685791
GCST90018793,['EFO_0003913'],['angina pectoris'],['other'],other,0.08100058403190451,1.1132679,-16,15.953400313854218
GCST90018915,['EFO_0003913'],['angina pectoris'],['other'],other,0.07256950915235169,1.2354867,-11,10.908161908388138
GCST90018926,['MONDO_0005148'],['type 2 diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.05853389762655519,9.542163,-16,15.020353198051453
GCST90038451,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,0.9997112897424104,5.0,-122,121.30102998018265
GCST90038452,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,1.1022590114253936,2.0,-215,214.69896999001503
GCST90038605,['EFO_0003777'],['heart disease'],['EFO_0000319'],cardiovascular disease,0.06475552867428733,4.2861857,-9,8.36792904138565
GCST90038610,['EFO_0000612'],['myocardial infarction'],['EFO_0000319'],cardiovascular disease,0.14978783083852887,3.1632762,-15,14.499862909317017
GCST90042688,['EFO_0000537'],['hypertension'],['EFO_0000319'],cardiovascular disease,-0.05073765591063931,1.684451,-14,13.773541629314423
GCST90103484,['HP_0003418'],['Back pain'],['EFO_0003765'],sign or symptom,-0.040849405080061206,2.0,-11,10.69896999001503
GCST90104003,['MONDO_0001336'],['familial hyperlipidemia'],['OTAR_0000020'],nutritional or metabolic disease,0.38372322317266644,5.8343506,-33,32.234007477760315
GCST90104004,['MONDO_0001336'],['familial hyperlipidemia'],['OTAR_0000020'],nutritional or metabolic disease,0.2913246209602241,1.5419456,-9,8.81193095445633
GCST90104007,['MONDO_0001336'],['familial hyperlipidemia'],['OTAR_0000020'],nutritional or metabolic disease,0.4294223332494235,4.9073806,-54,53.30915027856827
GCST90131901,['EFO_0004698'],['insomnia'],['EFO_0000618'],nervous system disease,-0.02085414788782132,2.0,-12,11.69896999001503
GCST90131903,['EFO_0004698'],['insomnia'],['EFO_0000618'],nervous system disease,-0.021638726448262497,6.0,-9,8.221848726272583
GCST90161240,['EFO_0003964'],['hip fracture'],['OTAR_0000009'],"injury, poisoning or other complication",0.12278912240443246,3.7644222,-11,10.42430168390274
GCST90244026,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,0.8130885068838093,9.0,-14,13.045757472515106
GCST90244027,['MONDO_0004975'],['Alzheimer disease'],['EFO_0000618'],nervous system disease,1.0152030490604853,2.0,-10,9.69896999001503
GCST90244029,['MONDO_0001627'],['dementia'],['EFO_0000618'],nervous system disease,0.7374028258886604,2.0,-12,11.69896999001503
GCST90244030,['MONDO_0001627'],['dementia'],['EFO_0000618'],nervous system disease,0.9603824621500201,3.0,-10,9.522878736257553
GCST90250832,"['MONDO_0100096', 'EFO_0001365']","['COVID-19', 'age-related macular degeneration']","['MONDO_0024458', 'EFO_0005741']",disorder of visual system,-0.19174515224180044,1.0,-44,44.0
GCST90250832,"['MONDO_0100096', 'EFO_0001365']","['COVID-19', 'age-related macular degeneration']","['MONDO_0024458', 'EFO_0005741']",infectious disease,-0.19174515224180044,1.0,-44,44.0
GCST90250833,"['MONDO_0100096', 'EFO_0001365']","['COVID-19', 'age-related macular degeneration']","['MONDO_0024458', 'EFO_0005741']",disorder of visual system,-0.17217155743840243,2.0,-44,43.69896999001503
GCST90250833,"['MONDO_0100096', 'EFO_0001365']","['COVID-19', 'age-related macular degeneration']","['MONDO_0024458', 'EFO_0005741']",infectious disease,-0.17217155743840243,2.0,-44,43.69896999001503
GCST90250834,"['MONDO_0100096', 'EFO_0001365']","['COVID-19', 'age-related macular degeneration']","['MONDO_0024458', 'EFO_0005741']",disorder of visual system,-0.11966172963607741,2.0,-44,43.69896999001503
GCST90250834,"['MONDO_0100096', 'EFO_0001365']","['COVID-19', 'age-related macular degeneration']","['MONDO_0024458', 'EFO_0005741']",infectious disease,-0.11966172963607741,2.0,-44,43.69896999001503
GCST90274865,['EFO_0003918'],['obstructive sleep apnea'],['OTAR_0000010'],respiratory or thoracic disease,-0.036284783937446385,5.0,-11,10.301029980182648
GCST90275047,['EFO_0003095'],['non-alcoholic fatty liver disease'],['EFO_0010282'],gastrointestinal disease,-0.27513007807667744,1.1021886,-11,10.957744091749191
GCST90276157,"['MONDO_0004975', 'EFO_0006792']","['Alzheimer disease', 'Lewy body dementia']",['EFO_0000618'],nervous system disease,1.2525138290723357,1.4880033,-52,51.827396124601364
GCST90432152,['EFO_0004214'],['Abdominal Aortic Aneurysm'],['EFO_0000319'],cardiovascular disease,-0.13278281212777665,5.0,-39,38.30102998018265
GCST90435754,['MONDO_0021187'],['hyperlipidemia'],['OTAR_0000020'],nutritional or metabolic disease,0.1906071136203731,4.405886,-68,67.3559667468071
GCST90435755,['HP_0003124'],['Hypercholesterolemia'],['other'],other,0.19357895819259394,1.3061978,-65,64.88399106264114
GCST90435845,['EFO_0000618'],['nervous system disease'],['other'],other,0.20091017988363669,5.416955,-12,11.266244769096375
GCST90435849,['EFO_0000677'],['mental or behavioural disorder'],['EFO_0000618'],nervous system disease,0.2910309321614135,6.4581547,-12,11.189891576766968
GCST90436074,['EFO_0003913'],['angina pectoris'],['other'],other,0.10486259773418981,3.9468136,-11,10.403753399848938
GCST90436075,['MONDO_0021661'],['coronary atherosclerosis'],['EFO_0000319'],cardiovascular disease,0.13676481355890488,1.4355903,-21,20.842969492077827
GCST90444489,['EFO_0000195'],['metabolic syndrome'],['OTAR_0000020'],nutritional or metabolic disease,0.1957803474025502,1.0,-14,14.0
GCST90448094,['EFO_0001365'],['age-related macular degeneration'],['MONDO_0024458'],disorder of visual system,-0.6016856261548454,9.0,-26,25.045757472515106
GCST90449024,['MONDO_0001627'],['dementia'],['EFO_0000618'],nervous system disease,0.36786067048667515,7.0,-305,304.15490198135376
GCST90449025,['EFO_0004718'],['vascular dementia'],['EFO_0000319'],cardiovascular disease,0.9509641653683105,3.0,-196,195.52287873625755
GCST90475386,['EFO_0009606'],['macular degeneration'],['MONDO_0024458'],disorder of visual system,-0.10525690438310001,1.0,-11,11.0
GCST90475492,['EFO_0000400'],['diabetes mellitus'],['EFO_0009605'],pancreas disease,-0.08923275425717064,2.0,-19,18.69896999001503
GCST90475542,['MONDO_0001627'],['dementia'],['EFO_0000618'],nervous system disease,0.6543362131688938,5.0,-97,96.30102998018265
GCST90475544,['EFO_0001072'],['memory impairment'],['other'],other,0.1862440395315595,2.0,-56,55.69896999001503
GCST90475556,['EFO_0003765'],['sign or symptom'],['other'],other,0.11650867440444883,1.1241193,-18,17.949187602847815
GCST90475689,['EFO_0003770'],['diabetic retinopathy'],['MONDO_0024458'],disorder of visual system,-0.0867495965937141,3.0,-13,12.522878736257553
GCST90475727,['HP_0003077'],['Hyperlipidemia'],['other'],other,0.11282988159749499,4.509017,-55,54.345918118953705
GCST90475759,"['EFO_0001073', 'MONDO_0003916']","['obesity', 'overnutrition']",['OTAR_0000020'],nutritional or metabolic disease,-0.05217201165500583,5.0,-17,16.301029980182648
GCST90475839,['HP_0001298'],['Encephalopathy'],['other'],other,0.14744270448991356,7.683931,-10,9.114416539669037
GCST90475851,['EFO_0009606'],['macular degeneration'],['MONDO_0024458'],disorder of visual system,-0.11419873785487702,3.0,-20,19.522878736257553
GCST90475938,['EFO_0003777'],['heart disease'],['EFO_0000319'],cardiovascular disease,0.08650499121135719,1.0,-26,26.0
GCST90475992,['EFO_0009659'],['aneurysm'],['EFO_0000319'],cardiovascular disease,0.11607810530183989,2.0,-19,18.69896999001503
GCST90475993,['EFO_0001666'],['aortic aneurysm'],['EFO_0000319'],cardiovascular disease,0.12310846790355003,2.0,-19,18.69896999001503
GCST90475994,['EFO_0004214'],['Abdominal Aortic Aneurysm'],['EFO_0000319'],cardiovascular disease,0.1508518152581972,1.1947137,-21,20.922736153006554
